"Title","Description","License","Tags","Groups","Visibility","Format","Language","Publisher","Type","[DateAdded, Date Modified]","Theme","Data Status","Update Frequency","Contact email","Expose User Contact Information","Temporal coverage from","Temporal coverage to","Geospatial coverage","Socrata ID","Jurisdiction","Category","Geospatial Topic","Data Models","Field of Research"
"NSW Public Schools Master Data Set","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","Yes","published","English","NSW Department of Education","Dataset","[1463459670, 1463459670]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.16","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","egm2-9jpa","New South Wales","Schools",,"n/a","1301 Education Systems"
"Schools using the DEC-provided Schools Website Service","as at August 2014.  Includes links to calendars.  Replace the dd-mm-yyy with the relevant dates","CC_30_BY_AUS","['schools', 'websites']","Public","Yes","published","English","NSW Department of Education","Dataset","[1413346441, 1413346441]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","gmp7-3vvd","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Government Schools By Classification 2001-2013","The classifications used in the table are not based on the 2013 actual enrolments collected through the mid-year census. The classifications are based on the staffing entitlement classifications reviewed periodically by the Classification Review Committee.","CC_30_BY_AUS","['Schools']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443599497, 1464134267]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.01","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","uvd4-dqsr","New South Wales","Schools",,"n/a","1301 Education Systems"
"Special Education Schools By Category, 2013","Refer to attached for further information. In 2013 more than 90,000 students with a disability and/or additional learning and support needs are enrolled in NSW public schools. Students with confirmed disability can enrol in regular classes with support, and in support classes in regular and special schools.","CC_30_BY_AUS","['Schools']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454975240, 1454975240]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","7dek-8gx3","New South Wales","Schools",,"n/a","1301 Education Systems"
"Secondary Education Schools By Selective, Specialist and Coeducational, 2014","Midyear 2014_x000D_
_x000D_
Secondary Education Schools By Selective, Specialist And Coeducational Status_x000D_
_x000D_
Includes secondary schools and central/community schools. The Conservatorium High School is included with performing arts schools.","CC_30_BY_AUS","['selective', 'specialist', 'coeducational', 'secondary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443660690, 1443660690]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","dviz-dq9d","New South Wales","Schools",,"n/a","1301 Education Systems"
"Places In NSW Specialist Schools Supporting Behaviour, 2001-2013","For more information refer to attachment. The NSW Department of Education has a wide range of support services for students with disruptive or challenging behaviour. These services aim to positively engage students with school and learning.","CC_30_BY_AUS","['ssps', 'specialist schools', 'schools for specific purpose', 'disruptive behaviour', 'support', 'students']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454972919, 1454972919]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.01","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","jh3m-hgqh","New South Wales","Schools",,"n/a","1301 Education Systems"
"2011 Statistical Bulletin: Schools and students in NSW","2011 Statistical Bulletin: Schools and students in NSW","CC_30_BY_AUS","['statistical bulletin', 'schools', 'students', '2011', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1397448915, 1448321751]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.11","31.12.11","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","mtx2-emcg","New South Wales","Statistics Bulletins",,"n/a","1309 Education Systems"
"2013 Statistical Bulletin: Schools and Students in NSW","The Statistical Bulletin is an annual publication which presents a snapshot of NSW schools, preschools and students, including the Aboriginal status and language background of students. The bulletin also includes trend data on enrolments in NSW Government and non-government schools from 1961 to the present day.","CC_30_BY_AUS","['statistics bulletin', 'pdf', 'cese', '2013', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1412906462, 1448321499]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","vewm-qzf6","New South Wales","Statistics Bulletins",,"n/a","1302 Education Systems"
"2012 Statistical Bulletin: Schools and students in NSW","2012 Statistical Bulletin: Schools and students in NSW","CC_30_BY_AUS","['statistics bulletin', 'schools', 'students', 'cese', '2012', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1397446464, 1448321671]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","nfc3-4gv3","New South Wales","Statistics Bulletins",,"n/a","1307 Education Systems"
"NSW Stats At A Glance, 2015","Overview of NSW education statistics, gathered in 2014.","CC_30_BY_AUS","['statistics', 'education', 'summary', '2014', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1445298634, 1448321813]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","tbmz-deni","New South Wales","Statistics Bulletins",,"n/a","1305 Education Systems"
"CESE Bulletin 14 - Schools: Language Diversity in NSW, 2015","This bulletin summarises the diversity of students with a language background other than English (LBOTE) who are enrolled in NSW government schools in 2015.","CC_30_BY_AUS","['statistics', 'education', 'summary', '2014', 'lbote', 'language', 'multicultural']","Public","Yes","published","English","NSW Department of Education","Dataset","[1455586553, 1455586653]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","f5uj-9euy","New South Wales","Statistics Bulletins",,"n/a","1313 Education Systems"
"Schools By Student Attendance And Type, Semester 1 2014","Student attendance rates for primary, central/community and secondary students in NSW.","CC_30_BY_AUS","['students', 'attendance', 'nsw students', 'primary', 'secondary', 'central', 'community']","Public","Yes","published","English","NSW Department of Education","Dataset","[1439360919, 1439360919]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","y3f2-rtv8","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Student Attendance Rate By School Level, 2006-2014","Student attendance data for primary and secondary students in NSW.","CC_30_BY_AUS","['students', 'attendance', 'nsw students', 'primary', 'secondary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1439361027, 1439361027]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.06","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","kdmv-4gjw","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Aboriginal Student Attendance Rate By School Level, 2006-2014","Aboriginal student attendance data for primary and secondary students in NSW.","CC_30_BY_AUS","['students', 'attendance', 'primary', 'secondary', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1448319261, 1448319261]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.06","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","fxte-i6n5","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Completion Rates For Traineeships Commencing In 2009 And 2010","Percentage of traineeships that were completed, sorted by industry.","CC_30_BY_AUS","['students', 'vocational educations', 'trainees']","Public","Yes","published","English","NSW Department of Education","Dataset","[1455593845, 1455593845]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.09","31.12.10","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","4iqi-7djh","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
"Selective High Schools Minimum Entry Scores, 2015","for further information see attachment. Entry into these schools in Year 7 is determined by the students results in the Selective High School Placement Test 1 in English (including reading and writing), mathematics and general ability, together with their primary school's assessment of their performance in English and mathematics. Other evidence of academic merit may also be considered.","CC_30_BY_AUS","['Students']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454974987, 1454974987]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","cwt5-xq72","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Time fraction per week employed","Based on number of teachers employed on the census date (2012) and includes casual teachers. 0.2 = 1 day.  Time fraction greater than 1 is due to teachers taking pay in advance for leave.","CC_30_BY_AUS","['teachers', 'days per week']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409816013, 1409816013]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","autg-7yjp","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers by Gender","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'gender']","Public","Yes","published","English","NSW Department of Education","Dataset","[1408683485, 1409815692]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","duy7-ihnk","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Graduation Year","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'graduation']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409816188, 1409816188]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ez58-4s7f","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Employee Assistance Program, Annual Cost By Financial Year 2011-2015","Refer to attachment for more information. The Employee Assistance Program (EAP) is a service provided by the NSW Department of Education to support the health and wellbeing of its employees.","CC_30_BY_AUS","['teachers', 'health', 'employee assistance']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453186319, 1453186319]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.11","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","smeg-derx","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Indigenous Status","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'indigenous', 'aboriginal', 'tsi']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409546691, 1448321797]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","xcny-pjgv","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Type of employment","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'permanent', 'casual', 'temporary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409556197, 1412906816]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","grj2-vrc9","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Tertiary Qualification level","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'qualifications', 'degrees']","Public","Yes","published","English","NSW Department of Education","Dataset","[1408684704, 1409816105]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","wjcp-dq3c","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Tertiary Qualifications (by Type)","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'qualifications', 'degrees']","Public","Yes","published","English","NSW Department of Education","Dataset","[1446605694, 1446605694]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","kpnx-9cx2","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Permanent School Teacher Sick Leave Average, 2007-2014","For further information see attachment. Sick leave taken includes full pay, half pay (only available up to 18 February 2009 under the previous Determination), no pay and special concessional sick leave.","CC_30_BY_AUS","['teachers', 'sick leave', 'permanent staff']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454972578, 1454972578]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.07","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","q7xv-pyvr","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Employee Assistance Program, Services Accessed By Year,  2011-2015","Refer to attachment for more information. The Employee Assistance Program (EAP) is a service provided by the NSW Department of Education to support the health and wellbeing of its employees.","CC_30_BY_AUS","['teachers', 'staff', 'assistance health', 'wellbeing']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453186499, 1453186499]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.11","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","krjq-3jfr","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Retirement Rates For Permanent NSW Government School Teachers, 2006-2014","The retirement rates for NSW government school teachers remains relatively low. The rate has remained around 4 per cent as the 'baby boomers' reach retirement age. data from the Workforce Profile Update 2014.","CC_30_BY_AUS","['teachers', 'teaching profession', 'teacher data', 'primary', 'secondary', 'baby boomers', 'medical retirement']","Public","Yes","published","English","NSW Department of Education","Dataset","[1466481911, 1466481911]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.06","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","3ss8-wn4j","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Years employed by NSW DEC","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'years employed']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409815424, 1409815723]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","g5kn-6imz","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Salary range","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['Teachers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409557130, 1409815890]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ug7u-7p9r","New South Wales","Teachers",,"n/a","1301 Education Systems"
"NSW Public School Teachers - School Type by Gender","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['Teachers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409614872, 1409815823]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","xcjp-967z","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Completed Apprenticeships And Traineeships in NSW, 1997-2010","For more information refer to attachment. There has been an increase of 251 per cent in the number of people completing a traineeship or apprenticeship between 1997 and 2010.","CC_30_BY_AUS","['trainee', 'apprentice', 'traineeship', 'apprenticeship']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453183883, 1453183883]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.97","31.12.10","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","5a98-94wv","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
"Completion Rates For Apprenticeships Commencing In 2009 And 2010","Percentage of apprenticeships completed, in 2009 and 2010. Sorted by industry.","CC_30_BY_AUS","['vet', 'apprentice', 'training', 'industry']","Public","Yes","published","English","NSW Department of Education","Dataset","[1455594037, 1455594037]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.09","31.12.10","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","qjhp-wep4","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
"Number of VET Students, 2010-2014","Number of students studying VET courses, all ages, and total for the five year period","CC_30_BY_AUS","['vet', 'students']","Public","Yes","published","English","NSW Department of Education","Dataset","[1455592750, 1455592750]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.10","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","hp5u-96jq","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
"Number Of Students In Years 11 And 12 Enrolled In One Or More VET Courses","Source: NSW Board of Studies data as at July each year.","CC_30_BY_AUS","['vet', 'study patterns', 'students']","Public","Yes","published","English","NSW Department of Education","Dataset","[1397184285, 1429129108]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","r2h9-s8iy","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
"Median weekly cost of centre-based long day care, NSW and other jurisdictions ($/week), 2013","* Source: SCRGSP  2014, Report on Government Services 2014, vol. B Childcare, education and training, Productivity Commission, Canberra, Table 3A.30 
* 2012/13 dollars","CC_30_BY_AUS","['weekly cost', 'long day care']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409843947, 1409843947]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","f6jz-uc7f","New South Wales","Early childhood",,"n/a","1301 Education Systems"
